Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2019,160455,Infinite Chicago,Submitted,28 E Jackson Blvd,60604,"3,5",false,LOOP,Multifamily Housing,215.000,1911,2,,79,"5.568.380,6","8.798.629,1",,,,"66,8",,,,,,"41,878258","-87,626777","(41.878258, -87.626777)",2019-160455
2019,166787,St. Peter's Church,Submitted,110 W Madison St,60602,"1,0",false,LOOP,Worship Facility,68.779,1900,1,,4,"2.697.607,7","6.537.143,5",,,,"134,3",,,,,,"41,88232711","-87,63149179","(41.88232711, -87.63149179)",2019-166787
2019,173598,The Chicago Theatre,Submitted,175 N State St,60601,,true,LOOP,Other - Entertainment/Public Assembly,142.000,1921,1,,,"2.886.161,3","3.667.121,2",,,,"46,1",,,,,,"41,8854012","-87,62722072","(41.8854012, -87.62722072)",2019-173598
2019,173612,Bell Federal Building,Submitted,79 W Monroe St,60603,"1,5",false,LOOP,Office,198.650,1904,1,,31,"16.619.896,4",,,"4.935.204,1",,"108,5","256,9","106,1",,3.025,"15,2","41,88067281","-87,63053977","(41.88067281, -87.63053977)",2019-173612
2019,173615,Five North Wabash,Submitted,1 5 N WABASH AVE,60602,"4,0",false,LOOP,Multifamily Housing,170.184,1910,1,,71,"2.896.221,9","7.119.003,3",,,,"58,8",,,,,,"41,88319223","-87,62868858","(41.88319223, -87.62868858)",2019-173615
2019,173617,105 W MADISON ST,Submitted,105 W MADISON ST,60602,"1,5",false,LOOP,Office,140.000,1928,1,4.153,33,"10.451.617,9","5.284.299,9",,,,"112,4","248,7","111,1",,"2.019,4","14,4",41.8818,-87.6295,"(41.8818, -87.6295)",2019-173617
2019,173618,318 West Adams Commercial Condo Assoc.,Submitted,318 W Adams St,60606,"3,0",false,LOOP,Office,168.725,1927,1,,61,"7.264.465,3","6.237.589,8",,,,80,"159,4","78,1",,"1.539,9","9,1","41,87940822","-87,63610047","(41.87940822, -87.63610047)",2019-173618
2019,173622,444 W Jackson Blvd,Submitted,444 W Jackson Blvd,60606,,true,NEAR WEST SIDE,Fitness Center/Health Club/Gym,71.235,1974,1,,,"7.127.603,2","10.082.977,7",,,,"241,6",,,,,,"41,87808768","-87,63895016","(41.87808768, -87.63895016)",2019-173622
2019,173632,The Chicago Building,Submitted,7 W Madison St,60603,"3,0",false,LOOP,Residence Hall/Dormitory,104.965,1904,1,,61,"2.886.031,7","6.892.700,1",,"1.160.135,9",,"104,2",156,"102,9",,932,"8,9","41,88201315","-87,62821922","(41.88201315, -87.62821922)",2019-173632
2019,173639,Madison 123 Assoc LLC,Submitted,119 - 123 Madison St,60602,"1,5",false,LOOP,Office,90.318,1912,1,,36,"7.023.762,4",,,,,"77,8",,,,,,"41,881948","-87,63132","(41.881948, -87.63132)",2019-173639
