Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2023,103640,One North LaSalle,Submitted,1 N. Lasalle,60602,"4,0",,Loop,Office,554.777,1929,1,2.608,73,"11.904.023,3","25.789.051,4",,,,"67,9","108,9","76,7",118,"3.035,4","5,5","41,864991","-87,620811",POINT (-87.620811 41.864991),2023-103640
2023,159525,Columbus Plaza Venture LLC,Submitted,233 E Wacker Drive,60601,"1,0",,Loop,Multifamily Housing,540.543,1980,1,,8,"24.356.591,8","21.003.526,9",,,,"83,9",167,93,"183,7","4.523,6","8,4","41,95966","-87,654838",POINT (-87.654838 41.95966),2023-159525
2023,101733,Two North Riverside Plaza,Submitted,2 North Riverside Plaza,60606,"3,0",,Near West Side,Office,741.315,1929,1,,64,"35.061.810,8","2.470.430,9",,,,"50,6","135,9","55,3","147,6","5.037,1","6,8","42,000324","-87,661134",POINT (-87.661134 42.000324),2023-101733
2023,101765,77 West Wacker Drive,Submitted,77 W. Wacker Drive,60601,"4,0",,Loop,Office,1.185.113,1992,1,6.007,81,"43.692.454,8",,,,,"36,9","103,2","38,8","108,7","6.113,4","5,2",41.8833,-87.6362,POINT (-87.6362 41.8833),2023-101765
2023,101846,200 West Adams St.,Submitted,200 West Adams St.,60606,"4,0",,Loop,Office,789.024,1985,1,3.389,87,"23.014.073,4",,,,,"29,2","81,7","30,8","86,2","3.220,1","4,1","41,894063","-87,621396",POINT (-87.621396 41.894063),2023-101846
2023,134779,CDM Center,Submitted,243 S. Wabash,60604,"2,0",,Loop,College/University,184.461,1916,1,,,"9.966.088,4",6.827.105,,,,91,"190,1","96,6","195,5","1.757,1","9,5","41,876562","-87,63354",POINT (-87.63354 41.876562),2023-134779
2023,101954,The Garland Building Office Condominium,Submitted,111 North Wabash,60602,"1,5",,Loop,Office,259.000,1914,1,,31,12.041.455,"11.811.500,6",,,,"92,1","178,1","101,7","188,3","2.312,2","8,9",41.8833,-87.6264,POINT (-87.6264 41.8833),2023-101954
2023,103602,190 South LaSalle,Submitted,190 South Lasalle,60603,"4,0",,Loop,Office,883.718,1985,1,5.868,76,"46.626.862,9",,,,,"52,8","147,7","55,6","155,7",6.524,"7,4","41,969552","-87,694572",POINT (-87.694572 41.969552),2023-103602
2023,160299,"OneEleven (nl025, nl026)",Submitted,111 West Wacker Drive,60601,"1,0",,Loop,Multifamily Housing,810.402,2014,1,19.504,29,"28.622.886,7","20.423.199,5",,,,"60,5","125,4","65,3","133,3","5.089,7","6,3","41,692628","-87,598763",POINT (-87.598763 41.692628),2023-160299
2023,243690,The 400 Condominium Association,Submitted,400 E. Randolph St.,60601,"3,0",,Loop,Multifamily Housing,1.110.000,1963,1,,69,"21.137.733,8","57.843.924,1",,,,"71,2",108,"76,9","113,8",6.030,"5,4","41,902526","-87,62565",POINT (-87.62565 41.902526),2023-243690
2023,101940,Mallers Building LLC,Submitted,5 S. Wabash Ave.,60603,,true,Loop,Enclosed Mall,314.262,1912,1,191,,"12.437.231,9","11.982.568,6",,,,"77,7","150,8","77,4",150,"2.376,7","7,6","41,748355","-87,668973",POINT (-87.668973 41.748355),2023-101940
2023,101950,332 Property LLC,Submitted,332 South Michigan Ave.,60604,"3,5",,Loop,Office,529.401,1910,1,,73,"14.038.594,2","26.838.213,3",,,,"77,2","127,5","84,2","134,3","3.389,8","6,4","41,760324","-87,556736",POINT (-87.556736 41.760324),2023-101950
2023,160304,The Tides at Lakeshore East (td016),Submitted,360 E South Water St,60601,"2,0",,Loop,Multifamily Housing,484.482,2008,1,23.987,49,"13.546.472,9","26.895.061,7",,,,"83,5","136,6","89,2",142,"3.323,9","6,9","41,965267","-87,659238",POINT (-87.659238 41.965267),2023-160304
2023,121043,209 W. Jackson,Submitted,209 W. Jackson,60606,"3,5",,Loop,Office,164.000,1897,1,,72,"5.955.577,1","5.894.592,8",,,,"72,3","139,4","81,1","149,7","1.146,4",7,"41,87695","-87,634048",POINT (-87.634048 41.87695),2023-121043
2023,160179,The Kimpton Gray Hotel,Submitted,39 S Lasalle St,60603,"3,5",,Loop,Hotel,239.678,2016,1,7.108,74,"9.600.466,2","8.414.909,8",,,,"75,2",149,"79,5","155,2","1.790,2","7,5","41,881147","-87,626035",POINT (-87.626035 41.881147),2023-160179
2023,173618,318 W Adams Level Office LLC,Submitted,318 W Adams,60606,"2,5",,Loop,Office,157.700,1927,1,,51,"7.712.079,8","6.261.154,7",,,,"88,6","178,6","104,5","194,3","1.411,6",9,"41,856058","-87,667248",POINT (-87.667248 41.856058),2023-173618
2023,125048,"Sunshine Enterprise, LLC - Series II (218 S Wabash)",Submitted,218 South Wabash,60604,"3,0",,Loop,Office,111.550,1900,1,1,69,"5.212.978,9",,,,,"46,7","130,9",49,"137,2","729,4","6,5","41,923237","-87,653685",POINT (-87.653685 41.923237),2023-125048
2023,173639,Madison 123 Assoc LLC,Not Submitted,123 W Madison St,60602,"0,0",,Loop,Office,,,,,,,,,,,,,,,,,"41,879303","-87,631002",POINT (-87.631002 41.879303),2023-173639
2023,101753,222 South Riverside,Submitted,222 South Riverside Plaza,60606,"4,0",,Near West Side,Office,1.237.455,1971,1,19.287,85,"37.409.646,2","32.041.693,6",,,,"56,1","111,8","60,1",116,"6.936,2","5,6","41,874634","-87,630418",POINT (-87.630418 41.874634),2023-101753
